# trajectory
# file: 'dataset-seq10.bag'
# topic: '/vrpn_client/raw_transform'
# timestamp tx ty tz qx qy qz qw
1548689995.540492101 -1.3124417354 -0.3164302845 1.3068362240 -0.3113121728 -0.6017002314 -0.3588519599 0.6420800834
1548689995.548825101 -1.3118678237 -0.3172419080 1.3069458247 -0.3116594117 -0.6012720365 -0.3598333445 0.6417634404
1548689995.557159101 -1.3112181194 -0.3179421127 1.3070357433 -0.3118653167 -0.6008540557 -0.3607694497 0.6415292918
1548689995.565492101 -1.3105932544 -0.3187275644 1.3072010558 -0.3123524792 -0.6003957275 -0.3617167089 0.6411878988
1548689995.573825101 -1.3100170715 -0.3195285025 1.3074103555 -0.3130486437 -0.5999478704 -0.3628206101 0.6406436641
1548689995.582159101 -1.3094058205 -0.3203246283 1.3076679360 -0.3138017280 -0.5994367891 -0.3636029429 0.6403100119
1548689995.590492101 -1.3088184080 -0.3211029580 1.3079524800 -0.3146731099 -0.5988212000 -0.3644137887 0.6399973398
1548689995.598825101 -1.3081957649 -0.3218530468 1.3082953396 -0.3155749526 -0.5983372826 -0.3651135202 0.6396069597
1548689995.607159101 -1.3075324277 -0.3226468732 1.3087671274 -0.3167193831 -0.5981026342 -0.3659253918 0.6387962734
1548689995.615492101 -1.3069990670 -0.3233338991 1.3091347610 -0.3176490800 -0.5972891397 -0.3662984325 0.6388819953
1548689995.623825101 -1.3063458069 -0.3241606508 1.3097437325 -0.3190893969 -0.5972032749 -0.3670905848 0.6377889210
1548689995.632158101 -1.3057823921 -0.3248806127 1.3103150916 -0.3204342853 -0.5968559375 -0.3677918943 0.6370353060
1548689995.640492101 -1.3051836095 -0.3255883871 1.3109233953 -0.3217738202 -0.5966102486 -0.3684516030 0.6362084848
1548689995.648825101 -1.3045866301 -0.3263128650 1.3116120789 -0.3232569599 -0.5964335555 -0.3689749313 0.6353183862
1548689995.657158101 -1.3039038728 -0.3270188655 1.3123552955 -0.3247751591 -0.5964298213 -0.3691156271 0.6344653010
1548689995.665492101 -1.3032580635 -0.3277166221 1.3130747769 -0.3263520924 -0.5963375650 -0.3696872171 0.6334091741
1548689995.673825101 -1.3025821233 -0.3284161721 1.3139316199 -0.3281295040 -0.5963461000 -0.3698147811 0.6324076101
1548689995.682159101 -1.3018330317 -0.3291010548 1.3147361507 -0.3297164488 -0.5964018008 -0.3699223655 0.6314660711
1548689995.690492101 -1.3010248864 -0.3296947137 1.3155458510 -0.3315526885 -0.5962161078 -0.3697999484 0.6307512709
1548689995.698825101 -1.3002635697 -0.3303019895 1.3163950105 -0.3333460211 -0.5959855344 -0.3698376326 0.6300014275
1548689995.707159101 -1.2993706037 -0.3308860060 1.3173087353 -0.3351037587 -0.5959837547 -0.3694643582 0.6292892205
1548689995.715492101 -1.2984609980 -0.3314720439 1.3182724971 -0.3369262691 -0.5959499604 -0.3690069844 0.6286160827
1548689995.723825101 -1.2974016239 -0.3320361952 1.3192836215 -0.3386269273 -0.5962901794 -0.3682842835 0.6278029250
1548689995.732159101 -1.2963547066 -0.3325501379 1.3202882512 -0.3403632619 -0.5962840614 -0.3676509102 0.6272407642
1548689995.740492101 -1.2951712863 -0.3330083918 1.3213285611 -0.3420158593 -0.5963931482 -0.3667531232 0.6267635211
1548689995.748825101 -1.2939551091 -0.3335095184 1.3224629162 -0.3437606531 -0.5965898290 -0.3661418282 0.6259787145
1548689995.757158101 -1.2927372538 -0.3339114641 1.3236204370 -0.3454134182 -0.5965646112 -0.3655260523 0.6254525883
1548689995.765492101 -1.2913961076 -0.3343130840 1.3248299196 -0.3469155452 -0.5969418323 -0.3647953486 0.6246874475
1548689995.773825101 -1.2899808729 -0.3346567473 1.3261092556 -0.3483445571 -0.5974426595 -0.3638762124 0.6239490686
1548689995.782158101 -1.2884873734 -0.3350097717 1.3274650044 -0.3497859054 -0.5978875179 -0.3631170340 0.6231583715
1548689995.790492101 -1.2868871322 -0.3353374137 1.3288158195 -0.3508947740 -0.5985218802 -0.3621337284 0.6224978548
1548689995.798825101 -1.2851969367 -0.3356899224 1.3302735459 -0.3517342938 -0.5993003411 -0.3613480099 0.6217312149
1548689995.807159101 -1.2834668510 -0.3358963657 1.3317402837 -0.3524991861 -0.6001741669 -0.3602878899 0.6210699877
1548689995.815492101 -1.2815171171 -0.3361955296 1.3333533072 -0.3531670939 -0.6016535967 -0.3588745554 0.6200766136
1548689995.823825101 -1.2795798224 -0.3363765598 1.3349601318 -0.3536747162 -0.6026594973 -0.3577209357 0.6194767611
1548689995.832159101 -1.2775633902 -0.3365311280 1.3366065952 -0.3540460870 -0.6037257819 -0.3565114506 0.6189233669
1548689995.840492101 -1.2755201045 -0.3366431833 1.3383055865 -0.3543271433 -0.6049420627 -0.3555478091 0.6181287339
1548689995.848825101 -1.2733660740 -0.3366733337 1.3400947940 -0.3544878663 -0.6061329358 -0.3543916965 0.6175335961
1548689995.857159101 -1.2711198168 -0.3367273357 1.3419374636 -0.3547322721 -0.6075194242 -0.3530837097 0.6167795865
1548689995.865492101 -1.2687807696 -0.3367344404 1.3438334519 -0.3544148412 -0.6090419502 -0.3523057326 0.6159047768
1548689995.873825101 -1.2664272381 -0.3367022067 1.3456965364 -0.3541901046 -0.6103938432 -0.3513535750 0.6152392960
1548689995.882158101 -1.2639674073 -0.3366299694 1.3476819906 -0.3539841830 -0.6121445699 -0.3505716562 0.6140633009
1548689995.890492101 -1.2615297836 -0.3365455391 1.3496131066 -0.3535641543 -0.6135562087 -0.3495833838 0.6134595548
1548689995.898825101 -1.2589688193 -0.3363968054 1.3515776226 -0.3529903320 -0.6152470716 -0.3488070375 0.6125377678
1548689995.907158101 -1.2563710781 -0.3361720146 1.3535801445 -0.3523994175 -0.6169915273 -0.3480562740 0.6115496185
1548689995.915492101 -1.2537868261 -0.3359808020 1.3555742020 -0.3517355627 -0.6187135261 -0.3475520416 0.6104778825
1548689995.923825101 -1.2510267574 -0.3356618140 1.3576046085 -0.3511205414 -0.6204818250 -0.3469056432 0.6094039260
1548689995.932159101 -1.2482729893 -0.3353418985 1.3596436216 -0.3504165450 -0.6224783091 -0.3462243153 0.6081592910
1548689995.940492101 -1.2455163744 -0.3349794857 1.3616502386 -0.3496255278 -0.6241182955 -0.3455809739 0.6072990482
1548689995.948825101 -1.2426701890 -0.3344987017 1.3636262557 -0.3485737201 -0.6257455669 -0.3449155923 0.6066070238
1548689995.957159101 -1.2397653972 -0.3339522937 1.3655637813 -0.3475032837 -0.6273890032 -0.3444509517 0.6057871313
1548689995.965492101 -1.2368971768 -0.3333408805 1.3674839039 -0.3465635665 -0.6289238751 -0.3437738453 0.6051181678
1548689995.973825101 -1.2340059816 -0.3327128871 1.3693976900 -0.3455658637 -0.6307653024 -0.3434968229 0.6039282241
1548689995.982159101 -1.2309455389 -0.3319833703 1.3713944924 -0.3444718538 -0.6329501345 -0.3433778082 0.6023329229
1548689995.990492101 -1.2277858099 -0.3312306664 1.3733199710 -0.3433192284 -0.6351357618 -0.3425967204 0.6011338941
1548689995.998825101 -1.2247415003 -0.3304645308 1.3751762786 -0.3425943988 -0.6369985494 -0.3416582908 0.6001096053
1548689996.007158101 -1.2215903067 -0.3296031761 1.3769542959 -0.3414945813 -0.6391324971 -0.3409970444 0.5988423146
1548689996.015492101 -1.2184053036 -0.3286886319 1.3786252047 -0.3402436579 -0.6412148843 -0.3411159262 0.5972584452
1548689996.023825101 -1.2152535080 -0.3276988242 1.3801732717 -0.3392258254 -0.6428978226 -0.3403274586 0.5964775352
1548689996.032158101 -1.2119618889 -0.3266415109 1.3816347869 -0.3380008731 -0.6446459303 -0.3398014124 0.5955854552
1548689996.040492101 -1.2086604718 -0.3255538241 1.3830266145 -0.3368492864 -0.6464157361 -0.3391752220 0.5946758976
1548689996.048825101 -1.2052819984 -0.3244445544 1.3842896719 -0.3356783815 -0.6480158684 -0.3386987727 0.5938674936
1548689996.057159101 -1.2018649846 -0.3232492766 1.3854278392 -0.3344748775 -0.6495019369 -0.3381385046 0.5932420602
1548689996.065492101 -1.1984332785 -0.3219869973 1.3864572124 -0.3332006262 -0.6509040182 -0.3375372077 0.5927646541
1548689996.073825101 -1.1949221636 -0.3206966322 1.3873761370 -0.3320225552 -0.6522674854 -0.3365608361 0.5924820284
1548689996.082159101 -1.1913683341 -0.3193766422 1.3882178300 -0.3308795600 -0.6534661497 -0.3357793702 0.5922439722
1548689996.090492101 -1.1877937700 -0.3180733233 1.3889215573 -0.3296796419 -0.6545390285 -0.3350859254 0.5921211164
1548689996.098825101 -1.1841877448 -0.3167001912 1.3895290154 -0.3285136721 -0.6557164939 -0.3342233036 0.5919539089
1548689996.107159101 -1.1804765589 -0.3153164906 1.3901345886 -0.3273898673 -0.6571707686 -0.3330606488 0.5916190158
1548689996.115492101 -1.1767239095 -0.3139296265 1.3907068655 -0.3263451146 -0.6588052444 -0.3318972368 0.5910319283
1548689996.123825101 -1.1729902845 -0.3123487172 1.3908962631 -0.3248504706 -0.6598474934 -0.3305442678 0.5914507116
1548689996.132158101 -1.1692298381 -0.3108970931 1.3912378884 -0.3235944273 -0.6616377580 -0.3295322789 0.5907034798
1548689996.140492101 -1.1654012752 -0.3092961115 1.3913074205 -0.3221008171 -0.6630109360 -0.3282240634 0.5907084955
1548689996.148825101 -1.1615583467 -0.3076028583 1.3912133388 -0.3204554408 -0.6642093882 -0.3266621209 0.5911227097
1548689996.157158101 -1.1576765753 -0.3060540358 1.3911188188 -0.3189222844 -0.6656040618 -0.3253155258 0.5911257211
1548689996.165492101 -1.1537344224 -0.3043705144 1.3908260342 -0.3172828232 -0.6668591001 -0.3238068948 0.5914217155
1548689996.173825101 -1.1498114065 -0.3027219778 1.3903594780 -0.3157516686 -0.6677731959 -0.3222529966 0.5920581465
