# trajectory
# file: 'dataset-seq9.bag'
# topic: '/vrpn_client/raw_transform'
# timestamp tx ty tz qx qy qz qw
1548689937.828354672 -1.8456142385 -0.9057317043 1.3135403546 0.0578208216 -0.6858951104 0.0444682873 0.7240353731
1548689937.836688672 -1.8457051411 -0.9063457843 1.3125396729 0.0576993890 -0.6854787075 0.0446115700 0.7244304866
1548689937.845021672 -1.8458116364 -0.9068527129 1.3113609716 0.0578704933 -0.6847252657 0.0447208557 0.7251223080
1548689937.853354672 -1.8459482490 -0.9074822642 1.3102352677 0.0576118972 -0.6839977270 0.0447994757 0.7258243491
1548689937.861688672 -1.8461793535 -0.9082379666 1.3090311302 0.0572930232 -0.6833148033 0.0449266660 0.7264846755
1548689937.870021672 -1.8462733299 -0.9088882468 1.3077295741 0.0567807993 -0.6824326557 0.0451814537 0.7273377809
1548689937.878354672 -1.8462656389 -0.9094936974 1.3067081819 0.0567185113 -0.6822317241 0.0436721778 0.7276232720
1548689937.886688672 -1.8464240453 -0.9101718155 1.3052824996 0.0567596377 -0.6811634937 0.0435510768 0.7286274371
1548689937.895021672 -1.8466747651 -0.9111640236 1.3036171682 0.0557631067 -0.6796836045 0.0449219250 0.7300018454
1548689937.903354672 -1.8467101224 -0.9119580548 1.3023150717 0.0553158226 -0.6789439316 0.0444988200 0.7307497194
1548689937.911687672 -1.8467689711 -0.9128981878 1.3008346613 0.0547261945 -0.6779764614 0.0439329346 0.7317259451
1548689937.920021672 -1.8467787030 -0.9137984995 1.2994343212 0.0541064607 -0.6770030714 0.0441422191 0.7326600826
1548689937.928354672 -1.8467947743 -0.9147440699 1.2978977423 0.0536712286 -0.6762216710 0.0435763543 0.7334471707
1548689937.936687672 -1.8469260851 -0.9158094778 1.2963484277 0.0529329642 -0.6751716256 0.0430516272 0.7344984239
1548689937.945021672 -1.8469728890 -0.9169870663 1.2948456219 0.0518117775 -0.6741336886 0.0432548882 0.7355190849
1548689937.953354672 -1.8470601557 -0.9182259666 1.2931883521 0.0512649449 -0.6730230579 0.0434023681 0.7365650707
1548689937.961688672 -1.8470197844 -0.9192776121 1.2917293466 0.0509837679 -0.6723846678 0.0430562347 0.7371876793
1548689937.970021672 -1.8470371394 -0.9205688329 1.2901665267 0.0502724927 -0.6715004038 0.0427457156 0.7380600843
1548689937.978354672 -1.8470571281 -0.9219961344 1.2887067139 0.0495959217 -0.6710037948 0.0420235734 0.7385987891
1548689937.986688672 -1.8469943204 -0.9234080061 1.2871928456 0.0491013978 -0.6704239715 0.0417181110 0.7391754530
1548689937.995021672 -1.8469133180 -0.9250034472 1.2856943728 0.0484612644 -0.6697972738 0.0413715507 0.7398050504
1548689938.003354672 -1.8468642156 -0.9267241197 1.2842629682 0.0475706375 -0.6695976328 0.0402445496 0.7401056822
1548689938.011688672 -1.8466395912 -0.9284382546 1.2827672381 0.0470897744 -0.6688493300 0.0401476530 0.7408179890
1548689938.020021672 -1.8464615709 -0.9304137126 1.2813738733 0.0458118309 -0.6687333477 0.0392004785 0.7410535124
