# trajectory
# file: 'dataset-seq3.bag'
# topic: '/vrpn_client/raw_transform'
# timestamp tx ty tz qx qy qz qw
1548685843.432802298 0.0333565213 0.7546873565 1.2698659729 -0.4406242921 -0.5179834847 -0.4956658647 0.5402394778
1548685843.441135298 0.0334079546 0.7547388170 1.2700298298 -0.4404996196 -0.5181546296 -0.4955123432 0.5403178534
1548685843.449468298 0.0334466584 0.7547967428 1.2701838465 -0.4404983301 -0.5183651180 -0.4952011791 0.5404022741
1548685843.457801298 0.0334964660 0.7548694879 1.2703623467 -0.4405397479 -0.5185829560 -0.4949243248 0.5404131391
1548685843.466135298 0.0335412175 0.7549406293 1.2704924944 -0.4404423601 -0.5187348051 -0.4947909407 0.5404689209
1548685843.474468298 0.0335920860 0.7550310982 1.2706196739 -0.4402771294 -0.5187980124 -0.4948294373 0.5405076314
1548685843.482801298 0.0336449656 0.7551046486 1.2706934596 -0.4400876929 -0.5188424259 -0.4947266109 0.5407133623
1548685843.491135298 0.0336714126 0.7552401788 1.2707768555 -0.4400312309 -0.5189782233 -0.4945673197 0.5407747089
1548685843.499468298 0.0337461644 0.7553190857 1.2708789643 -0.4398968735 -0.5189789724 -0.4944276903 0.5410109296
1548685843.507802298 0.0338027788 0.7554583303 1.2709452990 -0.4397724972 -0.5190023748 -0.4942514624 0.5412505681
1548685843.516135298 0.0338541255 0.7556025960 1.2710158973 -0.4397465593 -0.5190903102 -0.4939739645 0.5414406115
1548685843.524468298 0.0339266182 0.7557333798 1.2710947727 -0.4396420305 -0.5190818029 -0.4937598051 0.5417289191
1548685843.532802298 0.0339495834 0.7559149487 1.2711338638 -0.4396516904 -0.5192447299 -0.4933973107 0.5418951886
1548685843.541135298 0.0340087331 0.7560719879 1.2711639350 -0.4395624336 -0.5191829930 -0.4932322936 0.5421769004
1548685843.549468298 0.0340132269 0.7562414900 1.2711901452 -0.4395626195 -0.5192546482 -0.4930326010 0.5422897456
1548685843.557802298 0.0340414169 0.7564368642 1.2711867737 -0.4394637898 -0.5192052744 -0.4930753543 0.5423782403
1548685843.566135298 0.0340527809 0.7566309310 1.2711576486 -0.4392774206 -0.5190489553 -0.4933272347 0.5424497850
1548685843.574468298 0.0340505511 0.7568436185 1.2711153735 -0.4391544476 -0.5189379383 -0.4935418855 0.5424603162
1548685843.582801298 0.0340321794 0.7570528814 1.2710489640 -0.4390831552 -0.5187939421 -0.4936330764 0.5425727733
1548685843.591135298 0.0340306328 0.7572983446 1.2709636175 -0.4387986103 -0.5184863545 -0.4940810766 0.5426892016
1548685843.599468298 0.0340521783 0.7575480118 1.2708970763 -0.4385626181 -0.5183972868 -0.4943597344 0.5427112824
